"url","twitterUrl","id","text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote"
"https://x.com/vitorstvm/status/1695057744183591397","https://twitter.com/vitorstvm/status/1695057744183591397","1695057744183591397","Eu estou.... Eu estou usando github copilot","0","1","2","1","Fri Aug 25 12:57:13 +0000 2023","0","false","false"
"https://x.com/fllamber/status/1695168457271107872","https://twitter.com/fllamber/status/1695168457271107872","1695168457271107872","quer ter um code pilot / copilot em casa? De graça*!? Titio Zuck estende a mão e te ajuda!

*tu só paga eletricidade","0","0","0","0","Fri Aug 25 20:17:09 +0000 2023","0","false","true"
"https://x.com/CodigoFalado/status/1694893872701215170","https://twitter.com/CodigoFalado/status/1694893872701215170","1694893872701215170","Hoje eu tive a confirmação de que o Github Copilot X, que é pago e deveria usar GPT-4, é mais incompetente que o Chat-GPT 3.5 grátis.
Não conseguiu executar uma tarefa simples envolvendo SCSS, mesmo depois de várias tentativas.
Fui no Chat-GPT Free e ele acertou na primeira.","0","0","1","0","Fri Aug 25 02:06:03 +0000 2023","0","false","false"
"https://x.com/ocodista/status/1695057784209838303","https://twitter.com/ocodista/status/1695057784209838303","1695057784209838303","Nenhuma enterprise quer arriscar, você deve ter visto notícias sobre problema com funcionários usando ChatGPT, Copilot ou alguma outra IA de geração de código dentro das empresas.

Daí surgiu o SafeCoder, o assistente de código voltado para Enterprise.

https://t.co/xaFXiAeTqN","1","1","48","0","Fri Aug 25 12:57:23 +0000 2023","4","false","false"
"https://x.com/maximizasw/status/1695081093026689443","https://twitter.com/maximizasw/status/1695081093026689443","1695081093026689443","Alimentado por #IA, o Microsoft Sales Copilot, 1º copiloto baseado em funções para impulsionar a produtividade, foi projetado para vendedores:","0","0","0","0","Fri Aug 25 14:30:00 +0000 2023","0","false","false"
"https://x.com/pjwerneck/status/1695010917405036874","https://twitter.com/pjwerneck/status/1695010917405036874","1695010917405036874","Em 2012 ouvi alguém dizer que em 10 anos o avanço da IA reduziria a demanda por desenvolvedores, e a indústria de TI focaria em times de testadores.

Ironicamente, copilot e GPT estão poupando meu tempo mais na implementação dos testes automatizados do que da aplicação.","0","0","10","0","Fri Aug 25 09:51:09 +0000 2023","0","false","false"
"https://x.com/jjihec/status/1695138263361589702","https://twitter.com/jjihec/status/1695138263361589702","1695138263361589702","Meta Platforms (#META, #M1TA34) – A #Meta Platforms lançará “Code Llama”, um modelo de IA para auxiliar na escrita de código, gratuito e baseado em prompts humanos. A iniciativa segue tendências como o #ChatGPT da #OpenAI. O Code Llama competirá com o #GitHub Copilot da ...","0","1","0","0","Fri Aug 25 18:17:10 +0000 2023","0","false","false"
"https://x.com/jessejonass/status/1695159824311325015","https://twitter.com/jessejonass/status/1695159824311325015","1695159824311325015","@matthew_santhos vim reviver esse tweet aqui pra sugerir o codeium. coisa maravilhosa, faz quase tudo q o copilot e é 0800","0","0","1","0","Fri Aug 25 19:42:51 +0000 2023","0","false","false"
"https://x.com/ocodista/status/1695057779952635973","https://twitter.com/ocodista/status/1695057779952635973","1695057779952635973","Tá, mas e daí? Calma, vou explicar!!!

Esse novo produto promete garantir SEGURANÇA e tranquilidade jurídica ao usar uma ferramenta de LLM para gerar código.

Quer dizer que as alternativas existentes não são seguras? (Ih Copilot, deu ruim)","0","1","38","0","Fri Aug 25 12:57:22 +0000 2023","1","false","false"
"https://x.com/raideveloper/status/1695061237048946909","https://twitter.com/raideveloper/status/1695061237048946909","1695061237048946909","@ocodista vale lembrar que agora, acho que em beta ainda, o copilot cita a origem e license caso ele pegue um codigo na integra de algum lugar, mas é bem raro de ver, e avisaram que é raro, mas sempre bom desconfiar","0","0","1","0","Fri Aug 25 13:11:06 +0000 2023","0","false","false"
"https://x.com/ocodista/status/1695065694457504031","https://twitter.com/ocodista/status/1695065694457504031","1695065694457504031","@lordtux Não.

Copilot enterprise ainda roda na Azure, não na infraestrutura do cliente.

E eles dizem que não usam os dados, assim como o GitHub disse que respeitaria license dos repositórios, mas sabemos que n foi o caso.","0","1","1","0","Fri Aug 25 13:28:49 +0000 2023","0","false","false"
"https://x.com/solutions_iti/status/1695045032078979550","https://twitter.com/solutions_iti/status/1695045032078979550","1695045032078979550","A FERIDA ABERTA NO E-COMMERCE DO GRANDE VAREJO

Hoje temos um desafio a mais que é o de aplicar modelos de Machine Learning e Inteligência Artifical para garantir a sustentabilidade dos negócios  que precisam permear toda a organização.

Leia Mais: https://t.co/Alr53oGtJA https://t.co/Clb2hDx4M2","0","0","0","0","Fri Aug 25 12:06:42 +0000 2023","0","false","false"
"https://x.com/framebuffer_br/status/1695137727921131632","https://twitter.com/framebuffer_br/status/1695137727921131632","1695137727921131632","Tem Machine Learning (IA) no FSR também, na fase final de desenvolvimento usaram para identificar detalhes da imagem que merecia trabalho e sugerir filtros melhores. https://t.co/i6dn8HHTnq","1","2","8","0","Fri Aug 25 18:15:03 +0000 2023","0","false","false"
"https://x.com/Enochtoolhack/status/1695100569327735249","https://twitter.com/Enochtoolhack/status/1695100569327735249","1695100569327735249","Se sua conta for invadida ou adulterada, tudo o que você precisa é de um bom hacker...
Caixa de entrada agora para todos os serviços de hacking
#Hacked #icloud #snapchat
#Discord
#Roblox #telefone ausen
#privacidade
#CyberSecurity #cyberattack
#Linux
#MachineLearning #brasileira https://t.co/WNbzCQWC01","0","0","0","1","Fri Aug 25 15:47:23 +0000 2023","0","false","false"
"https://x.com/kduttnk/status/1694975421022920799","https://twitter.com/kduttnk/status/1694975421022920799","1694975421022920799","RT fox_havk Para hacking, recuperação, rastreamento, perda de telefone ou localização de alguém Dm agora!

#MachineLearning #Jupyter #SQL #DataScience  #Cybersecurity #BigData #Analytics #Python  #TensorFlow #JavaScript #MISPL #DataScientist #Linux #Prog… https://t.co/csEmZpSeZk","0","0","0","0","Fri Aug 25 07:30:06 +0000 2023","0","false","false"
"https://x.com/kduttnk/status/1694977798761304451","https://twitter.com/kduttnk/status/1694977798761304451","1694977798761304451","RT kduttnk RT fox_havk Para hacking, recuperação, rastreamento, perda de telefone ou localização de alguém Dm agora!

#MachineLearning #Jupyter #SQL #DataScience  #Cybersecurity #BigData #Analytics #Python  #TensorFlow #JavaScript #MISPL #DataScientist #… https://t.co/csEmZpSeZk","0","0","0","0","Fri Aug 25 07:39:33 +0000 2023","0","false","false"
